,index,Unnamed: 0,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,ratecode_id,store_and_fwd_flag,pu_loc_id,do_loc_id,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,month,day,trip_duration,duration_minutes,pickup_dropoff,mean_distance,mean_duration,rush_hour
427,19413,7202876,1,2017-02-01 07:44:33,2017-02-01 08:31:23,1,22.3,2,N,142,132,1,52.0,0.0,0.5,12.0,5.54,0.3,70.34,February,Wednesday,0 days 00:46:50,46.833333333333336,142 132,20.77,48.949999999999996,1
428,19415,22643025,2,2017-03-19 04:58:54,2017-03-19 05:26:50,1,19.05,2,N,116,132,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01,March,Sunday,0 days 00:27:56,27.933333333333334,116 132,19.05,27.933333333333334,0
429,19477,12126808,1,2017-02-16 05:44:19,2017-02-16 06:13:33,1,18.8,2,N,236,132,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34,February,Thursday,0 days 00:29:14,29.233333333333334,236 132,19.21166666666667,40.49444444444444,0
430,19483,34486843,2,2017-04-26 08:31:31,2017-04-26 11:10:50,1,26.12,2,N,132,48,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,April,Wednesday,0 days 02:39:19,88.74999999999999,132 48,18.761904761904763,58.24444444444444,1
431,19497,24861702,2,2017-03-25 07:53:50,2017-03-25 08:46:00,1,19.66,2,N,132,48,1,52.0,0.0,0.5,10.0,5.76,0.3,68.56,March,Saturday,0 days 00:52:10,52.166666666666664,132 48,18.761904761904763,58.24444444444444,0
416,19001,94254245,2,2017-11-07 14:29:51,2017-11-07 15:37:06,1,20.7,2,N,132,237,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,November,Tuesday,0 days 01:07:15,67.25,132 237,19.540000000000003,56.47222222222223,0
417,19063,48641604,1,2017-06-05 05:15:32,2017-06-05 05:48:37,1,18.4,2,N,43,132,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,June,Monday,0 days 00:33:05,33.083333333333336,43 132,18.6575,41.27916666666667,0
418,19074,66111490,2,2017-08-04 16:14:17,2017-08-04 17:29:24,1,17.35,2,N,132,48,2,52.0,4.5,0.5,0.0,5.76,0.3,63.06,August,Friday,0 days 01:15:07,75.11666666666666,132 48,18.761904761904763,58.24444444444444,1
419,19117,12710239,2,2017-02-17 18:14:45,2017-02-17 18:53:38,5,13.09,2,N,233,132,1,52.0,4.5,0.5,12.57,5.54,0.3,75.41,February,Friday,0 days 00:38:53,38.88333333333333,233 132,17.40888888888889,58.47962962962962,1
420,19165,113007267,1,2017-01-19 13:03:28,2017-01-19 13:37:41,1,17.4,2,N,132,107,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,January,Thursday,0 days 00:34:13,34.21666666666667,132 107,17.561666666666667,50.455555555555556,0
421,19180,113297979,2,2017-01-19 17:32:00,2017-01-19 18:37:59,1,21.82,2,N,132,142,1,52.0,4.5,0.5,15.71,5.54,0.3,78.55,January,Thursday,0 days 01:05:59,65.98333333333333,132 142,20.406666666666666,50.36666666666667,1
422,19191,107094063,1,2017-12-17 17:02:22,2017-12-17 18:00:54,1,18.3,2,N,132,262,1,52.0,0.0,0.5,11.7,5.76,0.3,70.26,December,Sunday,0 days 00:58:32,58.53333333333333,132 262,19.165,49.93125,0
423,19213,38121598,1,2017-05-05 08:11:06,2017-05-05 09:05:28,1,11.7,2,N,28,161,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,May,Friday,0 days 00:54:22,54.36666666666667,28 161,11.7,54.36666666666667,1
56,2476,54754769,2,2017-06-27 11:21:03,2017-06-27 12:25:37,5,17.67,2,N,132,186,2,52.0,0.0,0.5,0.0,5.76,0.3,58.56,June,Tuesday,0 days 01:04:34,64.56666666666666,132 186,18.375,56.43611111111111,0
57,2556,108553183,2,2017-12-22 06:39:13,2017-12-22 07:34:16,1,17.31,2,N,132,233,1,52.0,0.0,0.5,14.64,5.76,0.3,73.2,December,Friday,0 days 00:55:03,55.05,132 233,17.86,43.57666666666667,1
58,2592,51094874,2,2017-06-16 18:51:20,2017-06-16 19:41:42,1,27.97,2,N,261,132,2,52.0,4.5,0.5,0.0,5.76,0.3,63.06,June,Friday,0 days 00:50:22,50.36666666666667,261 132,27.97,50.36666666666667,1
59,2688,78387922,2,2017-09-17 18:37:26,2017-09-17 20:15:32,1,19.09,2,N,132,230,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,September,Sunday,0 days 01:38:06,88.74999999999999,132 230,18.5712,59.59533333333333,0
60,2726,101017273,2,2017-11-29 19:45:12,2017-11-29 20:20:01,6,17.19,2,N,132,229,2,52.0,4.5,0.5,0.0,0.0,0.3,57.3,November,Wednesday,0 days 00:34:49,34.81666666666667,132 229,18.49,47.61388888888889,1
61,2756,11696335,1,2017-02-14 20:45:35,2017-02-14 21:15:13,1,9.7,2,N,93,90,1,52.0,0.0,0.5,12.0,5.54,0.3,70.34,February,Tuesday,0 days 00:29:38,29.633333333333333,93 90,9.7,29.633333333333333,0
62,2820,59341087,2,2017-07-12 16:05:31,2017-07-12 16:42:18,6,9.34,2,N,93,230,2,52.0,4.5,0.5,0.0,5.76,0.3,63.06,July,Wednesday,0 days 00:36:47,36.78333333333333,93 230,9.34,36.78333333333333,1
